This list contains all games supported by FB Alpha.

2833 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 8ballact	| D NW	| "8ballact"						| 		| 1984	| Miscellaneous	| 		| Seatongrove Ltd (Magic Eletronics USA |
| arkanoid	|  	| "arkanoid"						| 		| 1986	| Arkanoid	| 		| Taito Corporation Japan		|
| astorm	|   NW	| "astorm"						| 		| 1990	| System 18	| 		| Sega					|
| drivfrcp	| D NW	| "drivfrcp"						| 		| 1984	| Pac-man	| 		| Shinkai Inc. (Magic Eletronics Inc. li|
| g_2020	| D NW	| "g_2020"						| 		| 1900	| Megadrive	| 		| Unsorted				|
| g_abea	| D NW	| "g_abea"						| 		| 1988	| Megadrive	| 		| Sega					|
| g_abz2	|   NW	| "g_abz2"						| 		| 1994	| Megadrive	| 		| Koei					|
| g_agla	| D NW	| "g_agla"						| 		| 1900	| Megadrive	| 		| Unsorted				|
| g_alex	| D NW	| "g_alex"						| 		| 1989	| Megadrive	| 		| Sega					|
| g_batf	| D NW	| "g_batf"						| 		| 1900	| Megadrive	| 		| Unsorted				|
| g_bglf	| D NW	| "g_bglf"						| 		| 1900	| Megadrive	| 		| Unsorted				|
| g_blocb2	| D NW	| "g_blocb2"						| 		| 1900	| Megadrive	| 		| Unsorted				|
| g_body	| D NW	| "g_body"						| 		| 1900	| Megadrive	| 		| Unsorted				|
| g_bttf	| D NW	| "g_bttf"						| 		| 1900	| Megadrive	| 		| Unsorted				|
| g_buck	| D NW	| "g_buck"						| 		| 1900	| Megadrive	| 		| Unsorted				|
| getstar	|   NW	| "getstar"						| 		| 1986	| Early Toaplan	| 		| Taito					|
| gprider	|   NW	| "gprider"						| 		| 1990	| X-Board	| 		| Sega					|
| maniacsq	| D NW	| "maniacsq"						| 		| 1996	| Miscellaneous	| 		| Gaelco				|
| mwalk		|   NW	| "mwalk"						| 		| 1990	| System 18	| 		| Sega					|
| opwolf	|  	| "opwolf"						| 		| 1987	| Custom Taito	| 		| Taito					|
| porky		| D NW	| "porky"						| 		| 1985	| Pac-man	| 		| Shinkai Inc. (Magic Eletronics Inc. li|
| tumblep	|   NW	| "tumblep"						| 		| 1991	| Miscellaneous	| 		| Data East Corporation			|
| 99lstwar	|  	| '99: The Last War					| sonofphx	| 1985	| Proma		| Kyugo		| 					|
| 99lstwra	|  	| '99: The Last War (alternate)				| sonofphx	| 1985	| Proma		| Kyugo		| 					|
| 99lstwrk	|  	| '99: The Last War (Kyugo)				| sonofphx	| 1985	| Kyugo		| Kyugo		| 					|
| 4play		| X	| * 4 player input test					| 		| ???	| SNK		| Neo Geo	| 4 player  input test cartridge	|
| g_007		|  	| 007 Shitou (J) [!]					| g_bond	| 1993	| Domark	| Megadrive	| 					|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko 16-bit	| 					|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (94/07/18)	| 		| 1994	| Kaneko	| Kaneko 16-bit	| 					|
